Date,Suburb,State,Postcode,Beds,Baths,Cars,Land,Type,SaleType,Median price,Price,latitude,longitude,dist_to_cbd
15/08/2025,ERINA,NSW,2250,6,2,4,556,House,PRIVATE TREATY,752000,1265000,,,
15/08/2025,EAST GOSFORD,NSW,2250,3,2,2,,Townhouse,PRIVATE TREATY,752000,888750,-33.4335891,151.3563743,50.29975877
1/05/2025,TREVALLYN,TAS,7250,3,1,2,784,House,PRIVATE TREATY,540000,555000,-41.4339263,147.1125159,161.8867484
10/05/2025,BRONTE,NSW,2024,4,3,2,,House,AUCTION,752000,23500000,-33.9041732,151.262915,6.327643704
14/08/2025,BURLEIGH HEADS,QLD,4220,30,20,30,,House,PRIVATE TREATY,670000,18030000,-28.1000249,153.4431487,81.24658778
12/08/2025,GREENHILLS BEACH,NSW,2230,6,4,4,,House,PRIVATE TREATY,752000,15000000,-34.0394395,151.1617234,19.29785684
16/05/2025,MERMAID WATERS,QLD,4218,5,6,6,1113,House,AUCTION,670000,14005000,-28.057085,153.419917,75.99044023
5/12/2024,KATHERINE,NT,850,,,,,Rural,PRIVATE TREATY,460000,12800000,-14.4646157,132.2635993,269.9785699
22/05/2025,MOSMAN,NSW,2088,4,5,2,,House,PRIVATE TREATY,752000,12400000,-33.8204394,151.2491465,6.658218995
12/08/2025,POTTS POINT,NSW,2011,3,2,2,,Apartment/Unit/Flat,PRIVATE TREATY,645000,11000000,-33.8699154,151.2252697,1.571554888
28/04/2025,LEABROOK,SA,5068,7,4,6,6806,House,PRIVATE TREATY,495000,9750000,-34.931659,138.6539498,4.950523517
1/05/2025,RABY BAY,QLD,4163,5,5,3,,House,PRIVATE TREATY,670000,9750000,-27.5126971,153.2762382,25.44142606
2/05/2025,BROADBEACH,QLD,4218,4,4,3,,Apartment/Unit/Flat,PRIVATE TREATY,660000,9500000,-28.0299315,153.4312764,74.03066771
7/05/2025,BROADBEACH,QLD,4218,4,4,3,,Apartment/Unit/Flat,PRIVATE TREATY,660000,9500000,-28.0299315,153.4312764,74.03066771
11/08/2025,CITY BEACH,WA,6015,5,3,4,943,House,PRIVATE TREATY,505000,8600000,-31.9139173,115.7615518,10.45713002
8/05/2025,SURFERS PARADISE,QLD,4217,26,13,16,2032,House,PRIVATE TREATY,670000,8508000,-28.003036,153.4255202,71.23158838
2/05/2025,SOVEREIGN ISLANDS,QLD,4216,7,7,7,704,House,PRIVATE TREATY,670000,8500000,,,
23/05/2025,ELIZABETH BAY,NSW,2011,5,4,2,,Apartment/Unit/Flat,PRIVATE TREATY,645000,8500000,-33.8687377,151.2264791,1.687912294
9/08/2025,SUNRISE BEACH,QLD,4567,4,3,3,706,House,PRIVATE TREATY,670000,7500000,-26.4151028,153.1100128,117.0859963
9/05/2025,PIMPAMA,QLD,4209,3,2,1,,Duplex,PRIVATE TREATY,670000,7350000,-27.8191713,153.2969669,47.26864391
6/05/2025,INDOOROOPILLY,QLD,4068,5,3,3,2376,House,PRIVATE TREATY,670000,7300000,-27.5063869,152.9787778,6.060668692
7/08/2025,SOUTH BRISBANE,QLD,4101,4,3,3,,Penthouse,PRIVATE TREATY,670000,7250000,-27.4736901,153.0165,0.867906704
9/08/2025,NOOSA HEADS,QLD,4567,3,2,2,,Apartment/Unit/Flat,PRIVATE TREATY,660000,7050000,-26.3937447,153.0845338,119.2908476
9/05/2025,DURAL,NSW,2158,4,2,2,,House,PRIOR TO AUCTION,752000,7000000,-33.7006055,151.0255476,25.27477034
12/08/2025,ROSE BAY,NSW,2029,3,2,2,,Apartment/Unit/Flat,PRIOR TO AUCTION,645000,6800000,-33.8733873,151.2652223,5.282700169
30/04/2025,MOOLOOLABA,QLD,4557,4,3,3,,Apartment/Unit/Flat,PRIOR TO AUCTION,660000,6750000,-26.6795152,153.1188008,87.98369954
20/05/2025,STRATHFIELD,NSW,2135,4,2,4,1423,House,AUCTION,752000,6400000,-33.8765364,151.0749849,12.35547154
14/08/2025,PUTNEY,NSW,2112,4,4,4,,House,PRIVATE TREATY,752000,6350000,-33.828559,151.10232,10.82327898
13/08/2025,BYRON BAY,NSW,2481,5,3,4,507,House,PRIVATE TREATY,752000,6220000,-28.6504628,153.6162415,622.4209975
19/05/2025,LOORANA,TAS,7256,,,,,Rural,PRIVATE TREATY,540000,6189693,-39.8435231,143.9723546,438.956438
24/05/2025,NORTHBRIDGE,NSW,2063,2,2,4,765,House,AUCTION,752000,6100000,-33.809054,151.2102072,6.745131994
1/08/2025,SOMERTON PARK,SA,5044,5,4,5,993,House,PRIVATE TREATY,495000,5980000,-34.9983379,138.5162291,10.90945815
16/05/2025,HELENSVALE,QLD,4212,5,6,3,1636,House,PRIVATE TREATY,670000,5650000,-27.8776717,153.3197396,53.90184587
15/08/2025,HOMEBUSH,NSW,2140,5,1,1,1846,House,PRIVATE TREATY,752000,5600000,-33.8679981,151.0821298,11.67446853
24/05/2025,SEAFORTH,NSW,2092,5,3,5,588,House,AUCTION,752000,5510000,-33.7962486,151.2389714,8.643229714
6/05/2025,CASTLE HILL,NSW,2154,5,5,9,2000,House,PRIVATE TREATY,752000,5500000,-33.72799,151.0090491,24.2477691
19/05/2025,MERMAID WATERS,QLD,4218,6,5,4,826,House,AUCTION,670000,5500000,-28.0395161,153.4215487,74.4137077
23/05/2025,MOSMAN,NSW,2088,5,3,3,,House,PRIVATE TREATY,752000,5500000,-33.823035,151.231836,5.630997197
21/05/2025,BROADBEACH WATERS,QLD,4218,5,5,4,693,House,PRIVATE TREATY,670000,5400000,-28.0351274,153.4156538,73.69480837
24/05/2025,MOSMAN,NSW,2088,3,2,2,,Apartment/Unit/Flat,AUCTION,645000,5300000,-33.8368864,151.2431319,4.874774386
14/08/2025,MATCHAM,NSW,2250,,,,,Acreage/Semirural,PRIVATE TREATY,752000,5250000,-33.4082595,151.4387015,55.48054331
17/04/2025,FITZROY,SA,5082,5,4,2,1073,House,PRIVATE TREATY,495000,5200000,-34.8976673,138.5925184,3.452219323
7/08/2025,BUDDINA,QLD,4575,5,4,2,933,House,PRIVATE TREATY,670000,5130000,-26.6957502,153.1301388,86.32598567
30/04/2025,SOUTH BRIGHTON,SA,5048,4,2,5,312,House,PRIVATE TREATY,495000,5100000,-35.0273705,138.5174975,13.3323281
14/08/2025,COLLAROY,NSW,2097,5,3,3,461,House,PRIVATE TREATY,752000,5100000,-33.7321686,151.2980303,17.38560851
7/05/2025,WARRAWEE,NSW,2074,5,3,2,924,House,PRIVATE TREATY,752000,5030000,-33.725179,151.127856,17.69033642
16/08/2025,EPPING,NSW,2121,5,5,4,746,House,AUCTION,752000,5000008,-33.7718554,151.0579438,17.65927736
11/08/2025,SURFERS PARADISE,QLD,4217,4,3,3,,Apartment/Unit/Flat,PRIVATE TREATY,660000,5000000,-28.0083895,153.4279942,71.85982967
